outcome,profile,aOR,lo,hi
Presenteeism,Interpersonal,1.83,1.62,2.08
Presenteeism,Physical-env.,2.34,2.1,2.61
Presenteeism,High-intensity,1.98,1.63,2.4
Presenteeism,(joint Wald),236.9,3.0,4.486626254783106e-51
Sickness absence,Interpersonal,1.22,1.07,1.4
Sickness absence,Physical-env.,1.8,1.62,2.01
Sickness absence,High-intensity,0.97,0.77,1.24
Sickness absence,(joint Wald),122.4,3.0,2.3887779918804068e-26
Poor work-life balance,Interpersonal,1.51,1.42,1.61
Poor work-life balance,Physical-env.,1.36,1.29,1.44
Poor work-life balance,High-intensity,1.79,1.61,1.98
Poor work-life balance,(joint Wald),260.7,3.0,3.175890323215459e-56
Work engagement,Interpersonal,b=-0.030,-0.054,-0.006
Work engagement,Physical-env.,b=-0.066,-0.088,-0.044
Work engagement,High-intensity,b=-0.204,-0.25,-0.158
Work engagement,(joint Wald),89.8,3.0,2.369660453643872e-19
