Covariance,Physical (z),Ergonomic (z),Psychosocial (z),Share %
spherical,-0.54,-0.53,-0.76,7.44
spherical,-0.43,-0.18,-0.11,52.24
spherical,0.53,-0.03,-0.03,13.7
spherical,0.73,0.52,0.44,26.61
diag,-0.54,-0.19,-0.08,46.74
diag,-0.05,0.08,-0.12,21.77
diag,0.56,0.1,0.16,14.92
diag,1.08,0.34,0.23,16.56
tied,-0.25,-0.02,0.51,35.17
tied,-0.11,-0.1,-0.37,53.19
tied,0.76,0.43,-0.1,8.56
tied,2.62,0.77,0.82,3.08
full,-0.36,-0.15,-0.04,55.52
full,0.07,0.12,-0.04,18.16
full,0.1,0.06,-0.1,7.57
full,0.96,0.3,0.19,18.75
