outcome,profile,uOR
Presenteeism,Interpersonal,1.94 (1.72-2.19)
Presenteeism,Physical-env.,2.59 (2.33-2.88)
Presenteeism,High-intensity,2.16 (1.79-2.61)
Sickness absence,Interpersonal,1.20 (1.05-1.36)
Sickness absence,Physical-env.,1.93 (1.74-2.14)
Sickness absence,High-intensity,1.03 (0.82-1.31)
Poor work-life balance,Interpersonal,1.83 (1.73-1.94)
Poor work-life balance,Physical-env.,1.56 (1.48-1.65)
Poor work-life balance,High-intensity,2.05 (1.86-2.26)
Work engagement,Interpersonal,b=-0.056 (-0.079 to -0.033)
Work engagement,Physical-env.,b=-0.103 (-0.125 to -0.082)
Work engagement,High-intensity,b=-0.240 (-0.283 to -0.196)
