outcome,model,profile,OR (95% CI),adj RD pp (95% CI),joint Wald chi2,n,b (95% CI)
Presenteeism,unadjusted,Interpersonal,1.94 (1.67-2.26),,187.5,36274,
Presenteeism,unadjusted,Physical-env.,2.59 (2.26-2.97),,187.5,36274,
Presenteeism,unadjusted,High-intensity,2.16 (1.67-2.80),,187.5,36274,
Presenteeism,adjusted,Interpersonal,1.83 (1.57-2.14),+3.0 (2.2 to 3.8),139.3,36274,
Presenteeism,adjusted,Physical-env.,2.34 (2.03-2.70),+4.7 (3.9 to 5.6),139.3,36274,
Presenteeism,adjusted,High-intensity,1.98 (1.51-2.59),+3.5 (1.8 to 5.2),139.3,36274,
Sickness absence,unadjusted,Interpersonal,1.20 (1.01-1.41),,90.2,43078,
Sickness absence,unadjusted,Physical-env.,1.93 (1.68-2.22),,90.2,43078,
Sickness absence,unadjusted,High-intensity,1.03 (0.76-1.41),,90.2,43078,
Sickness absence,adjusted,Interpersonal,1.22 (1.03-1.45),+0.8 (0.1 to 1.4),69.0,43078,
Sickness absence,adjusted,Physical-env.,1.80 (1.56-2.08),+2.7 (2.0 to 3.3),69.0,43078,
Sickness absence,adjusted,High-intensity,0.97 (0.71-1.33),-0.1 (-1.1 to 1.0),69.0,43078,
Poor work-life balance,unadjusted,Interpersonal,1.83 (1.70-1.98),,315.5,43999,
Poor work-life balance,unadjusted,Physical-env.,1.56 (1.45-1.68),,315.5,43999,
Poor work-life balance,unadjusted,High-intensity,2.05 (1.80-2.34),,315.5,43999,
Poor work-life balance,adjusted,Interpersonal,1.51 (1.40-1.64),+6.9 (5.5 to 8.3),147.1,43999,
Poor work-life balance,adjusted,Physical-env.,1.36 (1.26-1.47),+5.0 (3.7 to 6.3),147.1,43999,
Poor work-life balance,adjusted,High-intensity,1.79 (1.56-2.05),+10.1 (7.4 to 12.8),147.1,43999,
Work engagement,unadjusted,Interpersonal,,,172.2,44100,-0.056 (-0.079 to -0.033)
Work engagement,unadjusted,Physical-env.,,,172.2,44100,-0.103 (-0.125 to -0.082)
Work engagement,unadjusted,High-intensity,,,172.2,44100,-0.240 (-0.283 to -0.196)
Work engagement,adjusted,Interpersonal,,,89.9,44100,-0.030 (-0.054 to -0.006)
Work engagement,adjusted,Physical-env.,,,89.9,44100,-0.066 (-0.088 to -0.044)
Work engagement,adjusted,High-intensity,,,89.9,44100,-0.204 (-0.250 to -0.158)
