Source variable,Domain,Item,Mean,SD,Exposed >= half the time %
hazard_phy1,Physical,Vibration from hand tools or machinery,1.89,1.39,12.540000000000001
hazard_phy2,Physical,Loud noise,1.69,1.17,8.260000000000002
hazard_phy3,Physical,High temperature,1.82,1.33,11.66
hazard_phy4,Physical,Low temperature,1.65,1.15,7.9799999999999995
hazard_phy5,Physical,"Breathing in smoke, fumes, powder, or dust",1.55,1.07,6.510000000000001
hazard_phy6,Physical,Breathing in vapours such as solvents or thinners,1.4,0.83,3.34
hazard_phy7,Physical,Handling or being in skin contact with chemical products,1.43,0.87,3.83
hazard_phy8,Physical,Tobacco smoke from other people,1.42,0.8,2.91
hazard_phy9,Physical,Handling or being in direct contact with infectious material,1.35,0.73,2.4299999999999997
hazard_erg1,Ergonomic,Tiring or painful positions,2.57,1.7,26.8
hazard_erg2,Ergonomic,Lifting or moving people,1.54,1.02,6.01
hazard_erg3,Ergonomic,Carrying or moving heavy loads,2.21,1.37,15.15
hazard_erg4,Ergonomic,Standing for long periods,3.92,1.75,58.599999999999994
hazard_erg5,Ergonomic,Sitting for long periods,4.03,1.76,56.86
hazard_erg6,Ergonomic,Repetitive hand or arm movements,3.19,2.0,40.69
hazard_psy1,Psychosocial,"Dealing directly with people who are not employees (customers, passengers, students, patients)",3.51,2.23,45.04
hazard_psy2,Psychosocial,"Handling angry customers, patients, or students",1.97,1.18,9.48
hazard_psy3,Psychosocial,Being in emotionally disturbing situations,2.01,1.17,10.280000000000001
